CD_MUN,NM_MUN,casos,cluster,lisa_q,lisa_p
4116703,Nova Aurora,19.0,Não significativo,3,0.181
4106704,Cruzeiro do Sul,3.0,Não significativo,3,0.473
4118501,Pato Branco,244.0,Não significativo,4,0.171
4121109,Quinta do Sol,28.0,Não significativo,3,0.5
4108502,General Carneiro,14.0,Não significativo,3,0.389
4111902,Jaguapitã,81.0,Não significativo,1,0.2
4117214,Nova Santa Bárbara,8.0,LL - Baixo-Baixo,3,0.021
4101903,Assaí,28.0,LH - Baixo-Alto,2,0.038
4110607,Iporã,15.0,Não significativo,3,0.344
4113700,Londrina,2161.0,Não significativo,1,0.171
4117222,Nova Santa Rosa,17.0,LH - Baixo-Alto,2,0.027
4100608,Alto Paraná,9.0,Não significativo,3,0.416
4103701,Cambé,225.0,HH - Alto-Alto,1,0.018
4115457,Marquinho,11.0,Não significativo,3,0.405
4117206,Nova Olímpia,1.0,Não significativo,3,0.164
4113734,Luiziana,7.0,Não significativo,3,0.357
4108551,Godoy Moreira,8.0,Não significativo,3,0.232
4107207,Dois Vizinhos,115.0,Não significativo,4,0.241
4124202,Santo Antônio do Caiuá,3.0,Não significativo,3,0.192
4117255,Nova Prata do Iguaçu,17.0,Não significativo,3,0.324
4119806,Planalto,8.0,Não significativo,3,0.305
4107256,Douradina,6.0,Não significativo,3,0.247
4110656,Iracema do Oeste,1.0,Não significativo,3,0.327
4109609,Guaratuba,109.0,Não significativo,1,0.078
4126801,Tapejara,8.0,Não significativo,3,0.269
4117297,Novo Itacolomi,3.0,Não significativo,3,0.458
4117271,Nova Tebas,10.0,Não significativo,3,0.301
4113759,Lunardelli,4.0,Não significativo,3,0.155
4112405,Japurá,3.0,LL - Baixo-Baixo,3,0.003
4120705,Quatiguá,13.0,Não significativo,3,0.219
4125506,São José dos Pinhais,754.0,HH - Alto-Alto,1,0.002
4102406,Bandeirantes,88.0,Não significativo,4,0.312
4125555,São Manoel do Paraná,1.0,LL - Baixo-Baixo,3,0.023
4127304,Terra Rica,9.0,Não significativo,3,0.097
4128625,Alto Paraíso,3.0,Não significativo,3,0.467
4128633,Doutor Ulysses,14.0,Não significativo,2,0.169
4109658,Honório Serpa,6.0,Não significativo,2,0.24
4128609,Verê,64.0,Não significativo,3,0.299
4111100,Itambé,14.0,Não significativo,3,0.271
4123824,Santa Lúcia,8.0,LH - Baixo-Alto,2,0.032
4101101,Andirá,28.0,Não significativo,3,0.449
4101150,Ângulo,3.0,Não significativo,2,0.076
4123808,Santa Izabel do Oeste,82.0,Não significativo,4,0.385
4114203,Mandaguari,37.0,Não significativo,3,0.342
4128658,Virmond,11.0,Não significativo,3,0.392
4104204,Campo Largo,278.0,HH - Alto-Alto,1,0.002
4119004,Pérola d'Oeste,9.0,Não significativo,3,0.371
4126009,São Sebastião da Amoreira,11.0,Não significativo,3,0.124
4116802,Nova Cantu,9.0,LL - Baixo-Baixo,3,0.019
